,STATION,DOW,FTRAFFIC_x,PERCENT FEMALE,2018-05,Tech,SCORE,FTRAFFIC_y
0,34 ST-PENN STA,Wednesday Afternoon,1.0,0.5,0.8245206275421266,1.0,9.324520627542126,2929334.0
1,34 ST-PENN STA,Thursday Afternoon,0.9892931294280543,0.5,0.8245206275421266,1.0,9.249572533538506,2897970.0
2,34 ST-PENN STA,Tuesday Afternoon,0.984113795149341,0.5,0.8245206275421266,1.0,9.213317193587514,2882798.0
3,34 ST-PENN STA,Friday Afternoon,0.972740220131948,0.5,0.8245206275421266,1.0,9.133702168465764,2849481.0
4,34 ST-PENN STA,Monday Afternoon,0.8312715449996484,0.5,0.8245206275421266,1.0,8.143421442539665,2435072.0
5,23 ST,Thursday Afternoon,0.6364132598058125,0.67,0.8890180127832654,1.0,7.013910831423953,1864267.0
6,23 ST,Wednesday Afternoon,0.6347156042977687,0.67,0.8890180127832654,1.0,7.002027242867646,1859294.0
7,23 ST,Tuesday Afternoon,0.6159891634071089,0.67,0.8890180127832654,1.0,6.870942156633027,1804438.0
8,23 ST,Friday Afternoon,0.5906646357158316,0.67,0.8890180127832654,1.0,6.693670462794087,1730254.0
9,34 ST-PENN STA,Saturday Afternoon,0.5123331788044654,0.5,0.8245206275421266,1.0,5.910852879173384,1500795.0
